[ 2018-08-18T13:30:48+08:00 ] /xxx/admin.php | INFO: Tag[ app_begin ] --START--
[ 2018-08-18T13:30:48+08:00 ] /xxx/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-08-18T13:30:48+08:00 ] /xxx/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-08-18T13:30:48+08:00 ] /xxx/admin.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.023001s ]
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000000s ]
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000000s ]
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 112 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | INFO: Tag[ view_template ] --START--
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | INFO: Tag[ view_parse ] --START--
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-08-18T13:30:49+08:00 ] /xxx/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
